Sr. No.,State,Hon'ble Members of Parliaments,Constituency,Allocated AMOUNT ( ₹ ),state_clean,mp_clean,constituency_clean,allocated_amount,missing_state,missing_mp,missing_constituency,missing_amount,duplicate_record,extreme_amount,data_quality_score,data_quality_alert,record_type,ml_eligible,amount_numeric,amount_valid,log_amount,amount_percentile,robust_deviation,metadata_missing_count,metadata_risk,isolation_score,isolation_anomaly,statistical_score,percentile_signal,anomaly_score,risk_level,ai_explanation,requires_review,alert_priority
168,Telangana,EATALA RAJENDER,MALKAJGIRI,327477390.86,Telangana,EATALA RAJENDER,MALKAJGIRI,327477390.86,False,False,False,False,False,True,85.0,True,MP_RECORD,True,327477390.86,True,19.60692957816818,100.0,0.0,0,0.0,96.74094049172726,True,0.0,100,58.53,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM
51,Telangana,Arvind Dharmapuri,NIZAMABAD,281396355.11,Telangana,Arvind Dharmapuri,NIZAMABAD,281396355.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,281396355.11,True,19.4552747534136,99.81549815498155,0.0,0,0.0,89.22957528363119,True,0.0,100,55.15,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM
57,West Bengal,Asit Kumar Mal,BOLPUR(SC),275694456.74,West Bengal,Asit Kumar Mal,BOLPUR(SC),275694456.74,False,False,False,False,False,True,85.0,True,MP_RECORD,True,275694456.74,True,19.434803773289246,99.63099630996311,0.0,0,0.0,85.49008260800343,True,0.0,100,53.47,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM
381,Karnataka,Ramesh Chandappa Jigajinagi,BIJAPUR(SC),269500000,Karnataka,Ramesh Chandappa Jigajinagi,BIJAPUR(SC),269500000.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,269500000.0,True,19.4120789520239,99.2619926199262,0.0,0,0.0,80.78736796646953,True,0.0,100,51.35,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM
413,Odisha,Saptagiri Sankar Ulaka,KORAPUT(ST),269500000,Odisha,Saptagiri Sankar Ulaka,KORAPUT(ST),269500000.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,269500000.0,True,19.4120789520239,99.2619926199262,0.0,0,0.0,80.78736796646953,True,0.0,100,51.35,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM
224,The Dadra And Nagar Haveli And Daman And Diu,Kalaben Mohanbhai Delkar,DADRA & NAGAR HAVELI (ST),269500000,The Dadra And Nagar Haveli And Daman And Diu,Kalaben Mohanbhai Delkar,DADRA & NAGAR HAVELI (ST),269500000.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,269500000.0,True,19.4120789520239,99.2619926199262,0.0,0,0.0,80.78736796646953,True,0.0,100,51.35,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM
525,Haryana,VARUN CHAUDHRY,AMBALA (SC),255454264,Haryana,VARUN CHAUDHRY,AMBALA (SC),255454264.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,255454264.0,True,19.358553949628323,98.70848708487084,0.0,0,0.0,82.16179937490942,True,0.0,75,48.22,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM
157,Madhya Pradesh,DR. RAJESH MISHRA,SIDHI,262724510.35,Madhya Pradesh,DR. RAJESH MISHRA,SIDHI,262724510.35,False,False,False,False,False,True,85.0,True,MP_RECORD,True,262724510.35,True,19.38661655578462,98.8929889298893,0.0,0,0.0,81.98167560318726,True,0.0,75,48.14,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM
324,The Dadra And Nagar Haveli And Daman And Diu,PATEL UMESHBHAI BABUBHAI,DAMAN and DIU,245063957,The Dadra And Nagar Haveli And Daman And Diu,PATEL UMESHBHAI BABUBHAI,DAMAN and DIU,245063957.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,245063957.0,True,19.317029787501806,98.5239852398524,0.0,0,0.0,81.49648014311582,True,0.0,75,47.92,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM
249,Telangana,KONDA VISHWESHWAR REDDY,CHELVELLA,233721420.96,Telangana,KONDA VISHWESHWAR REDDY,CHELVELLA,233721420.96,False,False,False,False,False,True,85.0,True,MP_RECORD,True,233721420.96,True,19.269640459664178,98.33948339483395,0.0,0,0.0,79.57439162071833,True,0.0,75,47.06,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM
