Sr. No.,State,Hon'ble Members of Parliaments,Constituency,Allocated AMOUNT ( ₹ ),state_clean,mp_clean,constituency_clean,allocated_amount,missing_state,missing_mp,missing_constituency,missing_amount,duplicate_record,extreme_amount,data_quality_score,data_quality_alert,record_type,ml_eligible,amount_numeric,amount_valid,log_amount,amount_percentile,robust_deviation,metadata_missing_count,metadata_risk,isolation_score,isolation_anomaly,statistical_score,percentile_signal,anomaly_score,risk_level,ai_explanation,requires_review,alert_priority,robust_z_score,standard_z_score,global_percentile,iqr_upper_fence,iqr_outlier,statistical_alert_level,deviation_category,statistical_explanation
168,Telangana,EATALA RAJENDER,MALKAJGIRI,327477390.86,Telangana,EATALA RAJENDER,MALKAJGIRI,327477390.86,False,False,False,False,False,True,85.0,True,MP_RECORD,True,327477390.86,True,19.6069,100.0,0.0,0,0.0,96.74094049172726,True,100.0,100,58.53,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,6.0,5.4334,100.0,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹327,477,390.86 was flagged because extreme statistical deviation (robust z-score 6.00); allocation is within the top 1% of observed values; allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
51,Telangana,Arvind Dharmapuri,NIZAMABAD,281396355.11,Telangana,Arvind Dharmapuri,NIZAMABAD,281396355.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,281396355.11,True,19.4553,99.81549815498155,0.0,0,0.0,89.22957528363119,True,100.0,100,55.15,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,6.0,5.4334,99.8155,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹281,396,355.11 was flagged because extreme statistical deviation (robust z-score 6.00); allocation is within the top 1% of observed values; allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
57,West Bengal,Asit Kumar Mal,BOLPUR(SC),275694456.74,West Bengal,Asit Kumar Mal,BOLPUR(SC),275694456.74,False,False,False,False,False,True,85.0,True,MP_RECORD,True,275694456.74,True,19.4348,99.63099630996312,0.0,0,0.0,85.49008260800343,True,100.0,100,53.47,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,6.0,5.4334,99.631,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹275,694,456.74 was flagged because extreme statistical deviation (robust z-score 6.00); allocation is within the top 1% of observed values; allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
381,Karnataka,Ramesh Chandappa Jigajinagi,BIJAPUR(SC),269500000,Karnataka,Ramesh Chandappa Jigajinagi,BIJAPUR(SC),269500000.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,269500000.0,True,19.4121,99.2619926199262,0.0,0,0.0,80.78736796646953,True,100.0,100,51.35,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,6.0,5.4334,99.262,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹269,500,000.00 was flagged because extreme statistical deviation (robust z-score 6.00); allocation is within the top 1% of observed values; allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
413,Odisha,Saptagiri Sankar Ulaka,KORAPUT(ST),269500000,Odisha,Saptagiri Sankar Ulaka,KORAPUT(ST),269500000.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,269500000.0,True,19.4121,99.2619926199262,0.0,0,0.0,80.78736796646953,True,100.0,100,51.35,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,6.0,5.4334,99.262,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹269,500,000.00 was flagged because extreme statistical deviation (robust z-score 6.00); allocation is within the top 1% of observed values; allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
224,The Dadra And Nagar Haveli And Daman And Diu,Kalaben Mohanbhai Delkar,DADRA & NAGAR HAVELI (ST),269500000,The Dadra And Nagar Haveli And Daman And Diu,Kalaben Mohanbhai Delkar,DADRA & NAGAR HAVELI (ST),269500000.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,269500000.0,True,19.4121,99.2619926199262,0.0,0,0.0,80.78736796646953,True,100.0,100,51.35,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,6.0,5.4334,99.262,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹269,500,000.00 was flagged because extreme statistical deviation (robust z-score 6.00); allocation is within the top 1% of observed values; allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
525,Haryana,VARUN CHAUDHRY,AMBALA (SC),255454264,Haryana,VARUN CHAUDHRY,AMBALA (SC),255454264.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,255454264.0,True,19.3586,98.70848708487084,0.0,0,0.0,82.16179937490942,True,100.0,75,48.22,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,6.0,5.0117,98.7085,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹255,454,264.00 was flagged because extreme statistical deviation (robust z-score 6.00); allocation is within the top 5% of observed values; allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
157,Madhya Pradesh,DR. RAJESH MISHRA,SIDHI,262724510.35,Madhya Pradesh,DR. RAJESH MISHRA,SIDHI,262724510.35,False,False,False,False,False,True,85.0,True,MP_RECORD,True,262724510.35,True,19.3866,98.8929889298893,0.0,0,0.0,81.98167560318726,True,100.0,75,48.14,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,6.0,5.2864,98.893,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹262,724,510.35 was flagged because extreme statistical deviation (robust z-score 6.00); allocation is within the top 5% of observed values; allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
324,The Dadra And Nagar Haveli And Daman And Diu,PATEL UMESHBHAI BABUBHAI,DAMAN and DIU,245063957,The Dadra And Nagar Haveli And Daman And Diu,PATEL UMESHBHAI BABUBHAI,DAMAN and DIU,245063957.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,245063957.0,True,19.317,98.5239852398524,0.0,0,0.0,81.49648014311582,True,100.0,75,47.92,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,6.0,4.6053,98.524,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹245,063,957.00 was flagged because extreme statistical deviation (robust z-score 6.00); allocation is within the top 5% of observed values; allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
249,Telangana,KONDA VISHWESHWAR REDDY,CHELVELLA,233721420.96,Telangana,KONDA VISHWESHWAR REDDY,CHELVELLA,233721420.96,False,False,False,False,False,True,85.0,True,MP_RECORD,True,233721420.96,True,19.2696,98.33948339483396,0.0,0,0.0,79.57439162071833,True,100.0,75,47.06,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,6.0,4.1414,98.3395,150186650.9,True,HIGH,EXTREME_DEVIATION,"Allocation of ₹233,721,420.96 was flagged because extreme statistical deviation (robust z-score 6.00); allocation is within the top 5% of observed values; allocation exceeds the IQR upper fence. This is an anomaly candidate requiring verification and does not by itself indicate fraud."
