Sr. No.,State,Hon'ble Members of Parliaments,Constituency,Allocated AMOUNT ( ₹ ),state_clean,mp_clean,constituency_clean,allocated_amount,missing_state,missing_mp,missing_constituency,missing_amount,duplicate_record,extreme_amount,data_quality_score,data_quality_alert,record_type,ml_eligible,amount_numeric,amount_valid,log_amount,amount_percentile,robust_deviation,metadata_missing_count,metadata_risk,isolation_score,isolation_anomaly,statistical_score,percentile_signal,anomaly_score,risk_level,ai_explanation,requires_review,alert_priority,statistical_risk,statistical_alert,robust_z_score,statistical_percentile,peer_risk,peer_alert,peer_confidence,peer_ratio,peer_deviation_pct,peer_median,peer_group,peer_count,ml_risk,financial_risk,peer_confidence_multiplier,adjusted_peer_risk,statistical_multiplier,adjusted_statistical_risk,quality_risk,unified_risk_score,unified_risk_level,investigation_priority,risk_signals,unified_explanation,recommended_action,alert_status,risk_rank,ml_component_score,peer_component_score,financial_component_score,statistical_component_score,quality_component_score
168,Telangana,EATALA RAJENDER,MALKAJGIRI,327477390.86,Telangana,EATALA RAJENDER,MALKAJGIRI,327477390.86,False,False,False,False,False,True,85.0,True,MP_RECORD,True,327477390.86,True,19.60692957816818,100.0,0.0,0,0.0,96.74094049172726,True,0.0,100,58.53,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,100.0,90.0,HIGH,HIGH,2.2277,122.7737,147000000.0,Telangana_GENERAL,14.0,58.53,100.0,1.0,90.0,0.7,70.0,0.0,73.49,HIGH,HIGH,"['moderate ML anomaly signal', 'strong peer-group deviation', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","HIGH risk candidate: allocation of ₹327,477,390.86 shows moderate ML anomaly signal, strong peer-group deviation, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.","Detailed verification of allocation, supporting project records, sanction documentation, and implementing-agency details.",INVESTIGATION_ALERT,1,58.53,90.0,100.0,70.0,0.0
51,Telangana,Arvind Dharmapuri,NIZAMABAD,281396355.11,Telangana,Arvind Dharmapuri,NIZAMABAD,281396355.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,281396355.11,True,19.4552747534136,99.81549815498155,0.0,0,0.0,89.22957528363119,True,0.0,100,55.15,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,99.8155,65.0,HIGH,HIGH,1.9143,91.4261,147000000.0,Telangana_GENERAL,14.0,55.15,100.0,1.0,65.0,0.7,70.0,0.0,66.05,HIGH,HIGH,"['moderate ML anomaly signal', 'strong peer-group deviation', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","HIGH risk candidate: allocation of ₹281,396,355.11 shows moderate ML anomaly signal, strong peer-group deviation, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.","Detailed verification of allocation, supporting project records, sanction documentation, and implementing-agency details.",INVESTIGATION_ALERT,2,55.15,65.0,100.0,70.0,0.0
57,West Bengal,Asit Kumar Mal,BOLPUR(SC),275694456.74,West Bengal,Asit Kumar Mal,BOLPUR(SC),275694456.74,False,False,False,False,False,True,85.0,True,MP_RECORD,True,275694456.74,True,19.434803773289246,99.63099630996312,0.0,0,0.0,85.49008260800343,True,0.0,100,53.47,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,99.631,65.0,HIGH,HIGH,1.8755,87.5472,147000000.0,West Bengal_SC,10.0,53.47,100.0,1.0,65.0,0.7,70.0,0.0,65.46,HIGH,HIGH,"['moderate ML anomaly signal', 'strong peer-group deviation', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","HIGH risk candidate: allocation of ₹275,694,456.74 shows moderate ML anomaly signal, strong peer-group deviation, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.","Detailed verification of allocation, supporting project records, sanction documentation, and implementing-agency details.",INVESTIGATION_ALERT,3,53.47,65.0,100.0,70.0,0.0
381,Karnataka,Ramesh Chandappa Jigajinagi,BIJAPUR(SC),269500000,Karnataka,Ramesh Chandappa Jigajinagi,BIJAPUR(SC),269500000.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,269500000.0,True,19.4120789520239,99.2619926199262,0.0,0,0.0,80.78736796646953,True,0.0,100,51.35,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,99.262,65.0,HIGH,MEDIUM,1.8333,83.3333,147000000.0,Karnataka_SC,5.0,51.35,100.0,0.85,55.25,0.7,70.0,0.0,62.28,HIGH,HIGH,"['moderate ML anomaly signal', 'peer-group deviation', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","HIGH risk candidate: allocation of ₹269,500,000.00 shows moderate ML anomaly signal, peer-group deviation, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.","Detailed verification of allocation, supporting project records, sanction documentation, and implementing-agency details.",INVESTIGATION_ALERT,5,51.35,55.25,100.0,70.0,0.0
413,Odisha,Saptagiri Sankar Ulaka,KORAPUT(ST),269500000,Odisha,Saptagiri Sankar Ulaka,KORAPUT(ST),269500000.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,269500000.0,True,19.4120789520239,99.2619926199262,0.0,0,0.0,80.78736796646953,True,0.0,100,51.35,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,99.262,65.0,HIGH,MEDIUM,1.8263,82.6327,147563957.11,Odisha_ST,5.0,51.35,100.0,0.85,55.25,0.7,70.0,0.0,62.28,HIGH,HIGH,"['moderate ML anomaly signal', 'peer-group deviation', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","HIGH risk candidate: allocation of ₹269,500,000.00 shows moderate ML anomaly signal, peer-group deviation, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.","Detailed verification of allocation, supporting project records, sanction documentation, and implementing-agency details.",INVESTIGATION_ALERT,4,51.35,55.25,100.0,70.0,0.0
157,Madhya Pradesh,DR. RAJESH MISHRA,SIDHI,262724510.35,Madhya Pradesh,DR. RAJESH MISHRA,SIDHI,262724510.35,False,False,False,False,False,True,85.0,True,MP_RECORD,True,262724510.35,True,19.38661655578462,98.8929889298893,0.0,0,0.0,81.98167560318726,True,0.0,75,48.14,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,98.893,65.0,HIGH,HIGH,1.7872,78.7242,147000000.0,Madhya Pradesh_GENERAL,19.0,48.14,75.0,1.0,65.0,0.7,70.0,0.0,58.6,MEDIUM,WATCHLIST,"['moderate ML anomaly signal', 'strong peer-group deviation', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","MEDIUM risk candidate: allocation of ₹262,724,510.35 shows moderate ML anomaly signal, strong peer-group deviation, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.",Monitor record and verify supporting documentation during the next review cycle.,MONITORING_ALERT,6,48.14,65.0,75.0,70.0,0.0
249,Telangana,KONDA VISHWESHWAR REDDY,CHELVELLA,233721420.96,Telangana,KONDA VISHWESHWAR REDDY,CHELVELLA,233721420.96,False,False,False,False,False,True,85.0,True,MP_RECORD,True,233721420.96,True,19.269640459664178,98.33948339483396,0.0,0,0.0,79.57439162071833,True,0.0,75,47.06,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,98.3395,65.0,HIGH,HIGH,1.5899,58.9942,147000000.0,Telangana_GENERAL,14.0,47.06,75.0,1.0,65.0,0.7,70.0,0.0,58.22,MEDIUM,WATCHLIST,"['moderate ML anomaly signal', 'strong peer-group deviation', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","MEDIUM risk candidate: allocation of ₹233,721,420.96 shows moderate ML anomaly signal, strong peer-group deviation, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.",Monitor record and verify supporting documentation during the next review cycle.,MONITORING_ALERT,7,47.06,65.0,75.0,70.0,0.0
286,Delhi,Manoj Tiwari,NORTH EAST DELHI,225843858,Delhi,Manoj Tiwari,NORTH EAST DELHI,225843858.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,225843858.0,True,19.235354429081976,98.1549815498155,0.0,0,0.0,77.1253305854647,True,0.0,75,45.96,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,98.155,65.0,HIGH,MEDIUM,1.531,53.0992,147514688.0,Delhi_GENERAL,6.0,45.96,75.0,0.85,55.25,0.7,70.0,0.0,55.4,MEDIUM,WATCHLIST,"['moderate ML anomaly signal', 'peer-group deviation', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","MEDIUM risk candidate: allocation of ₹225,843,858.00 shows moderate ML anomaly signal, peer-group deviation, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.",Monitor record and verify supporting documentation during the next review cycle.,MONITORING_ALERT,8,45.96,55.25,75.0,70.0,0.0
12,Uttar Pradesh,AFZAL ANSARI,GHAZIPUR,220500000,Uttar Pradesh,AFZAL ANSARI,GHAZIPUR,220500000.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,220500000.0,True,19.21140825738632,97.97047970479706,0.0,0,0.0,75.66717157616826,True,0.0,75,45.3,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,97.9705,40.0,MEDIUM,HIGH,1.5,50.0,147000000.0,Uttar Pradesh_GENERAL,63.0,45.3,75.0,1.0,40.0,0.7,70.0,0.0,51.36,MEDIUM,WATCHLIST,"['moderate ML anomaly signal', 'peer-group deviation', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","MEDIUM risk candidate: allocation of ₹220,500,000.00 shows moderate ML anomaly signal, peer-group deviation, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.",Monitor record and verify supporting documentation during the next review cycle.,MONITORING_ALERT,9,45.3,40.0,75.0,70.0,0.0
375,Uttar Pradesh,RAM PRASAD CHAUDHARY,BASTI,204176957.11,Uttar Pradesh,RAM PRASAD CHAUDHARY,BASTI,204176957.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,204176957.11,True,19.13449761751404,97.60147601476017,0.0,0,0.0,60.4708907991018,True,0.0,75,38.46,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,97.6015,40.0,MEDIUM,HIGH,1.389,38.8959,147000000.0,Uttar Pradesh_GENERAL,63.0,38.46,75.0,1.0,40.0,0.7,70.0,0.0,48.96,MEDIUM,MONITOR,"['moderate ML anomaly signal', 'peer-group deviation', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","MEDIUM risk candidate: allocation of ₹204,176,957.11 shows moderate ML anomaly signal, peer-group deviation, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.",Monitor record and verify supporting documentation during the next review cycle.,MONITORING_ALERT,10,38.46,40.0,75.0,70.0,0.0
224,The Dadra And Nagar Haveli And Daman And Diu,Kalaben Mohanbhai Delkar,DADRA & NAGAR HAVELI (ST),269500000,The Dadra And Nagar Haveli And Daman And Diu,Kalaben Mohanbhai Delkar,DADRA & NAGAR HAVELI (ST),269500000.0,False,False,False,False,False,True,85.0,True,MP_RECORD,True,269500000.0,True,19.4120789520239,99.2619926199262,0.0,0,0.0,80.78736796646953,True,0.0,100,51.35,MEDIUM,Machine-learning model detected an unusual allocation pattern | Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,99.262,0.0,NORMAL,INSUFFICIENT,1.0,0.0,269500000.0,The Dadra And Nagar Haveli And Daman And Diu_ST,1.0,51.35,100.0,0.0,0.0,0.7,70.0,0.0,48.47,MEDIUM,MONITOR,"['moderate ML anomaly signal', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","MEDIUM risk candidate: allocation of ₹269,500,000.00 shows moderate ML anomaly signal, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.",Monitor record and verify supporting documentation during the next review cycle.,MONITORING_ALERT,11,51.35,0.0,100.0,70.0,0.0
240,West Bengal,KARTICK CHANDRA PAUL,RAIGANJ,202677986.56,West Bengal,KARTICK CHANDRA PAUL,RAIGANJ,202677986.56,False,False,False,False,False,True,85.0,True,MP_RECORD,True,202677986.56,True,19.12712900937329,97.41697416974168,0.0,0,0.0,56.61676125233682,False,0.0,75,36.73,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,97.417,40.0,MEDIUM,HIGH,1.3788,37.8762,147000000.0,West Bengal_GENERAL,30.0,36.73,75.0,1.0,40.0,0.7,70.0,0.0,48.36,MEDIUM,MONITOR,"['moderate ML anomaly signal', 'peer-group deviation', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","MEDIUM risk candidate: allocation of ₹202,677,986.56 shows moderate ML anomaly signal, peer-group deviation, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.",Monitor record and verify supporting documentation during the next review cycle.,MONITORING_ALERT,12,36.73,40.0,75.0,70.0,0.0
99,Andhra Pradesh,C.M.RAMESH,ANAKAPALLE,202531656.11,Andhra Pradesh,C.M.RAMESH,ANAKAPALLE,202531656.11,False,False,False,False,False,True,85.0,True,MP_RECORD,True,202531656.11,True,19.126406763699794,97.23247232472325,0.0,0,0.0,56.437859836523,False,0.0,75,36.65,MEDIUM,Allocation lies in an unusually high percentile | Data-quality validation requires review,False,MEDIUM,100.0,HIGH,6.0,97.2325,40.0,MEDIUM,HIGH,1.2669,26.6899,159864032.49,Andhra Pradesh_GENERAL,21.0,36.65,75.0,1.0,40.0,0.7,70.0,0.0,48.33,MEDIUM,MONITOR,"['moderate ML anomaly signal', 'peer-group deviation', 'allocation is in the top 5% financially', 'strong statistical anomaly signal']","MEDIUM risk candidate: allocation of ₹202,531,656.11 shows moderate ML anomaly signal, peer-group deviation, allocation is in the top 5% financially, strong statistical anomaly signal. Multiple independent intelligence signals were combined to prioritize this record for verification. This is an anomaly candidate and does not by itself indicate fraud.",Monitor record and verify supporting documentation during the next review cycle.,MONITORING_ALERT,13,36.65,40.0,75.0,70.0,0.0
